%T (K)	r_RRR10	        r_RRR15	        r_RRR16	        r_RRR25	        r_RRR50	        r_RRR100	r_RRR200	r_RRR300
167	282.9942182	290.1079834	290.9400588	295.1431013	299.261092	305.2325523	316.9941209	327.1030297
168	283.0653331	290.1184036	290.942462	295.1009376	299.1787712	305.1308935	316.8816922	326.9849408
169	283.1364399	290.1295466	290.9456879	295.0601634	299.0983629	305.0313994	316.7715761	326.8692537
170	283.2074779	290.1413348	290.9496564	295.0206856	299.0197623	304.93396	316.6636592	326.755852
171	283.2783897	290.1536944	290.9542915	294.9824155	298.9428698	304.8384706	316.5578332	326.6446244
172	283.349121	290.1665555	290.9595213	294.945269	298.8675903	304.7448314	316.4539951	326.5354651
173	283.4196206	290.1798519	290.9652773	294.9091662	298.7938334	304.6529472	316.3520463	326.428273
174	283.4898403	290.1935207	290.971495	294.874031	298.721513	304.5627274	316.2518933	326.3229517
175	283.5597347	290.2075025	290.9781127	294.839791	298.650547	304.4740856	316.1534465	326.2194093
176	283.6292609	290.2217409	290.9850723	294.8063776	298.5808574	304.3869393	316.0566206	326.1175582
177	283.6983786	290.2361825	290.9923186	294.7737255	298.5123698	304.3012102	315.9613345	326.0173148
178	283.76705	290.250777	290.9997995	294.7417725	298.4450132	304.2168233	315.8675104	325.9185993
179	283.8352394	290.2654763	291.0074654	294.7104598	298.3787203	304.1337073	315.7750744	325.8213357
180	283.9029135	290.2802354	291.0152695	294.6797314	298.3134268	304.0517943	315.6839561	325.7254514
181	283.9700407	290.2950114	291.0231674	294.6495341	298.2490716	303.9710194	315.5940881	325.6308773
182	284.0365919	290.309764	291.0311173	294.6198174	298.1855964	303.8913207	315.5054063	325.5375472
183	284.1025393	290.324455	291.0390795	294.5905333	298.1229457	303.8126395	315.4178495	325.4453983
184	284.1678574	290.3390483	291.0470165	294.5616363	298.0610669	303.7349196	315.3313593	325.3543704
185	284.232522	290.3535099	291.054893	294.5330833	297.9999095	303.6581075	315.2458801	325.2644062
186	284.2965108	290.3678077	291.0626755	294.5048332	297.9394259	303.5821522	315.1613588	325.1754512
187	284.3598028	290.3819114	291.0703324	294.4768472	297.8795705	303.5070051	315.0777448	325.087453
188	284.4223787	290.3957926	291.077834	294.4490884	297.8203	303.4326199	314.9949897	325.000362
189	284.4842204	290.4094244	291.0851523	294.4215218	297.7615731	303.3589524	314.9130476	324.9141307
